business_name,cuisine,phone,email,address,website,has_proper_website,instagram,facebook,twitter,rating,reviews,score,notes
Search Chem Industries Ltd,,,,"Dr A B Road Worli, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Infomedia India Ltd.,,,,"Senapati Bapat Marg Lower Parel, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Search Word Book Shop,,,,"23/25 Shahid Bhagat Singh Road Colaba, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Search Architecture & Landscape,,,,"Senapati Bapat Marg Lower Parel, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Searchbox Digital Agency,,,,"Ambedkar Chowk-Goregaon East, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Search For Me,,,,"M G Road Ghatkopar East, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Search Engine Optimization (Seo),,,,"J B Nagar Andheri East, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Search,,,,"Ram Maruti Road Thane West, Thane",,False,,,,,,7,No website; No phone; No email; No social media
Search Bag,,,,"Mumbai Bag Market Mumbai Central, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
Search Synergy,,,,"201 Grandis Lodha Aurum Gate 3 3 Kanjurmarg East, Mumbai",,False,,,,,,7,No website; No phone; No email; No social media
